zachować,alias,nazwa,typ,status_z_ostatniego_testu,adres_strony,grupa
,5e739b6fd9314,Publiczna strona IPCamLive - nazwa nieznana,nieznana,NIE TESTOWANO,https://www.ipcamlive.com/5e739b6fd9314,nowy kandydat z publicznego indeksu
,5e9094a5ea30e,Publiczna strona IPCamLive - nazwa nieznana,nieznana,NIE TESTOWANO,https://www.ipcamlive.com/5e9094a5ea30e,nowy kandydat z publicznego indeksu
,5eaaa2be7479e,Publiczna strona IPCamLive - nazwa nieznana,nieznana,NIE TESTOWANO,https://www.ipcamlive.com/5eaaa2be7479e,nowy kandydat z publicznego indeksu
,5f210b013704e,Publiczna strona IPCamLive - nazwa nieznana,nieznana,NIE TESTOWANO,https://www.ipcamlive.com/5f210b013704e,nowy kandydat z publicznego indeksu
,5f24192903bf5,Publiczna strona IPCamLive - nazwa nieznana,nieznana,NIE TESTOWANO,https://www.ipcamlive.com/5f24192903bf5,nowy kandydat z publicznego indeksu
,5f99470d11f4a,Publiczna strona IPCamLive - nazwa nieznana,nieznana,NIE TESTOWANO,https://www.ipcamlive.com/5f99470d11f4a,nowy kandydat z publicznego indeksu
,62a24340ea224,Publiczna strona IPCamLive - nazwa nieznana,nieznana,NIE TESTOWANO,https://www.ipcamlive.com/62a24340ea224,nowy kandydat z publicznego indeksu
,63f919ad27eb0,Publiczna strona IPCamLive - nazwa nieznana,nieznana,NIE TESTOWANO,https://www.ipcamlive.com/63f919ad27eb0,nowy kandydat z publicznego indeksu
,653f99c55d846,Publiczna strona IPCamLive - nazwa nieznana,nieznana,NIE TESTOWANO,https://www.ipcamlive.com/653f99c55d846,nowy kandydat z publicznego indeksu
,6582f8d4d4e03,Publiczna strona IPCamLive - nazwa nieznana,nieznana,NIE TESTOWANO,https://www.ipcamlive.com/6582f8d4d4e03,nowy kandydat z publicznego indeksu
,65afff4e2d408,Publiczna strona IPCamLive - nazwa nieznana,nieznana,NIE TESTOWANO,https://www.ipcamlive.com/65afff4e2d408,nowy kandydat z publicznego indeksu
,65b26e097e15e,Publiczna strona IPCamLive - nazwa nieznana,nieznana,NIE TESTOWANO,https://www.ipcamlive.com/65b26e097e15e,nowy kandydat z publicznego indeksu
,65d35aa6026d3,Publiczna strona IPCamLive - nazwa nieznana,nieznana,NIE TESTOWANO,https://www.ipcamlive.com/65d35aa6026d3,nowy kandydat z publicznego indeksu
,66f2c680aac9d,Publiczna strona IPCamLive - nazwa nieznana,nieznana,NIE TESTOWANO,https://www.ipcamlive.com/66f2c680aac9d,nowy kandydat z publicznego indeksu
,67cc3bc071cf6,Publiczna strona IPCamLive - nazwa nieznana,nieznana,NIE TESTOWANO,https://www.ipcamlive.com/67cc3bc071cf6,nowy kandydat z publicznego indeksu
,69aa86051667e,Publiczna strona IPCamLive - nazwa nieznana,nieznana,NIE TESTOWANO,https://www.ipcamlive.com/69aa86051667e,nowy kandydat z publicznego indeksu
,6a429661945f8,Publiczna strona IPCamLive - nazwa nieznana,nieznana,NIE TESTOWANO,https://www.ipcamlive.com/6a429661945f8,nowy kandydat z publicznego indeksu
,5ded8825acf7a,Publiczny player IPCamLive - kamera niedostępna w indeksie,nieznana,NIE TESTOWANO,https://www.ipcamlive.com/5ded8825acf7a,nowy kandydat z publicznego indeksu
,62ff8ac0c1390,Publiczny player IPCamLive - nazwa nieznana,nieznana,NIE TESTOWANO,https://www.ipcamlive.com/62ff8ac0c1390,nowy kandydat z publicznego indeksu
,6565f22ea1bcc,Publiczny player IPCamLive - nazwa nieznana,nieznana,NIE TESTOWANO,https://www.ipcamlive.com/6565f22ea1bcc,nowy kandydat z publicznego indeksu
,66520213e4069,Aerodrome Paul Gorce - Ambert - Parking,obserwacyjna / obiekt,NIE TESTOWANO,https://www.ipcamlive.com/66520213e4069,nowy kandydat z publicznego indeksu
,bimsparkinglot,BIMS Parking Lot,obserwacyjna / obiekt,NIE TESTOWANO,https://www.ipcamlive.com/bimsparkinglot,nowy kandydat z publicznego indeksu
,campradjsenslow,Camp Radj Sensor Low,obserwacyjna / obiekt,NIE TESTOWANO,https://www.ipcamlive.com/campradjsenslow,nowy kandydat z publicznego indeksu
,631b9b9cea02f,City of Hagerstown Skate Park,obserwacyjna / obiekt,NIE TESTOWANO,https://www.ipcamlive.com/631b9b9cea02f,nowy kandydat z publicznego indeksu
,parkinglot1,Coral Stone Club - Parking Lot Cam 1,obserwacyjna / obiekt,NIE TESTOWANO,https://www.ipcamlive.com/parkinglot1,nowy kandydat z publicznego indeksu
,court1mn,Court 1,obserwacyjna / obiekt,NIE TESTOWANO,https://www.ipcamlive.com/court1mn,nowy kandydat z publicznego indeksu
,5a6a833aa419e,Court 2,obserwacyjna / obiekt,NIE TESTOWANO,https://www.ipcamlive.com/5a6a833aa419e,nowy kandydat z publicznego indeksu
,6601b5072d651,Court 2,obserwacyjna / obiekt,NIE TESTOWANO,https://www.ipcamlive.com/6601b5072d651,nowy kandydat z publicznego indeksu
,5c543ab65e946,Court 3,obserwacyjna / obiekt,NIE TESTOWANO,https://www.ipcamlive.com/5c543ab65e946,nowy kandydat z publicznego indeksu
,court3mn,Court 3,obserwacyjna / obiekt,NIE TESTOWANO,https://www.ipcamlive.com/court3mn,nowy kandydat z publicznego indeksu
,court4mn,Court 4,obserwacyjna / obiekt,NIE TESTOWANO,https://www.ipcamlive.com/court4mn,nowy kandydat z publicznego indeksu
,court5mn,Court 5,obserwacyjna / obiekt,NIE TESTOWANO,https://www.ipcamlive.com/court5mn,nowy kandydat z publicznego indeksu
,court6mn,Court 6,obserwacyjna / obiekt,NIE TESTOWANO,https://www.ipcamlive.com/court6mn,nowy kandydat z publicznego indeksu
,court7mn,Court 7,obserwacyjna / obiekt,NIE TESTOWANO,https://www.ipcamlive.com/court7mn,nowy kandydat z publicznego indeksu
,court8mn,Court 8,obserwacyjna / obiekt,NIE TESTOWANO,https://www.ipcamlive.com/court8mn,nowy kandydat z publicznego indeksu
,courthouseplaza1,Courthouse Plaza,obserwacyjna / obiekt,NIE TESTOWANO,https://www.ipcamlive.com/courthouseplaza1,nowy kandydat z publicznego indeksu
,fpnfield6,FPN Field 6,obserwacyjna / obiekt,NIE TESTOWANO,https://www.ipcamlive.com/fpnfield6,nowy kandydat z publicznego indeksu
,6671ba0eeb76c,Far Grass Parking,obserwacyjna / obiekt,NIE TESTOWANO,https://www.ipcamlive.com/6671ba0eeb76c,nowy kandydat z publicznego indeksu
,ftolinquad,Florida Tech Olin Quad,obserwacyjna / obiekt,NIE TESTOWANO,https://www.ipcamlive.com/ftolinquad,nowy kandydat z publicznego indeksu
,653ca23ef3c05,GJ Pickleball Court Camera,obserwacyjna / obiekt,NIE TESTOWANO,https://www.ipcamlive.com/653ca23ef3c05,nowy kandydat z publicznego indeksu
,5d3a8b80f2977,Mercer Chamber - Parking Lot/Public WIFI,obserwacyjna / obiekt,NIE TESTOWANO,https://www.ipcamlive.com/5d3a8b80f2977,nowy kandydat z publicznego indeksu
,54ae29c3820c0,Pool Patio,obserwacyjna / obiekt,NIE TESTOWANO,https://www.ipcamlive.com/54ae29c3820c0,nowy kandydat z publicznego indeksu
,scconstructioncamera1,SC Construction Camera 1,obserwacyjna / obiekt,NIE TESTOWANO,https://www.ipcamlive.com/scconstructioncamera1,nowy kandydat z publicznego indeksu
,seven,SEVEN CAFE,obserwacyjna / obiekt,NIE TESTOWANO,https://www.ipcamlive.com/seven,nowy kandydat z publicznego indeksu
,sthelenasolar,St. Helena Solar Construction,obserwacyjna / obiekt,NIE TESTOWANO,https://www.ipcamlive.com/sthelenasolar,nowy kandydat z publicznego indeksu
,tenniscourt1,Tennis Court 1,obserwacyjna / obiekt,NIE TESTOWANO,https://www.ipcamlive.com/tenniscourt1,nowy kandydat z publicznego indeksu
,tenniscourt5,Tennis Court 5,obserwacyjna / obiekt,NIE TESTOWANO,https://www.ipcamlive.com/tenniscourt5,nowy kandydat z publicznego indeksu
,tennisbaan234,"Tennisbaan 2, 3 & 4",obserwacyjna / obiekt,NIE TESTOWANO,https://www.ipcamlive.com/tennisbaan234,nowy kandydat z publicznego indeksu
,5d3f788b1d403,Trilogy Pickleball Courts,obserwacyjna / obiekt,NIE TESTOWANO,https://www.ipcamlive.com/5d3f788b1d403,nowy kandydat z publicznego indeksu
,628285401b84e,Woodstock Tennis Club,obserwacyjna / obiekt,NIE TESTOWANO,https://www.ipcamlive.com/628285401b84e,nowy kandydat z publicznego indeksu
,620aa4f7afb84,Sunset Cam,pogoda,NIE TESTOWANO,https://www.ipcamlive.com/620aa4f7afb84,nowy kandydat z publicznego indeksu
,qefpbirdfeeder,Bird Feeder,zwierzęta / natura,NIE TESTOWANO,https://www.ipcamlive.com/qefpbirdfeeder,nowy kandydat z publicznego indeksu
,cenospreycam,Centerville Elementary School Osprey Camera,zwierzęta / natura,NIE TESTOWANO,https://www.ipcamlive.com/cenospreycam,nowy kandydat z publicznego indeksu
,643a55feb8213,CentrálÉtterem - kamera bocianów,zwierzęta / natura,NIE TESTOWANO,https://www.ipcamlive.com/643a55feb8213,nowy kandydat z publicznego indeksu
,690502b51ba36,Gaylord Elk View Park,zwierzęta / natura,NIE TESTOWANO,https://www.ipcamlive.com/690502b51ba36,nowy kandydat z publicznego indeksu
,margocam,Margo Waterhole,zwierzęta / natura,NIE TESTOWANO,https://www.ipcamlive.com/margocam,nowy kandydat z publicznego indeksu
,pszczoly,pszczoly.tv,zwierzęta / natura,NIE TESTOWANO,https://www.ipcamlive.com/pszczoly,nowy kandydat z publicznego indeksu
